"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","7pF","","Soldered footprints:0603C","2",""
"C3","100n","","Soldered footprints:0603C","1",""
"C4,C5","2u2","","Soldered footprints:0603C","2",""
"D1,D2","M4_DIODA","","Soldered footprints:M4_DIODA","2",""
"DM1","SKU: 700166","","Soldered footprints:PCB","1",""
"K1","CR2032_BS-6_HOLDER","","Soldered footprints:CR2032-BS-6-1","1",""
"K2","HEADER_MALE_3X1","","Soldered footprints:HEADER_MALE_3X1","1",""
"K3,K4","qwiic-SMD","","Soldered footprints:qwiic-connector","2",""
"K5","HEADER_MALE_4X1","","Soldered footprints:HEADER_MALE_4X1","1",""
"R1,R2,R3,R4,R5,R6","10k","","Soldered footprints:0603R","6",""
"U1","NMOS-DUAL","","Soldered footprints:SOT-363","1",""
"U2","PCF85063A","","Soldered footprints:PCF85063A","1",""
"U3","SE5218","","Soldered footprints:SOT-23-5","1",""
"X1","32.768kHz","","Soldered footprints:CRYSTAL_3215","1",""
